UCL_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL214006,3735,3944,7674,240,238,476,10,20,26,324,333,658,23,8,27,5,4,9,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,366,367,735,23,25,43,4,3,6,626,635,1265,353,388,737,4713,4963,9679
UCL214007,3257,3659,6921,315,353,670,19,22,45,171,196,370,13,19,28,20,16,35,10,4,11,0,3,4,0,4,4,0,0,4,0,0,0,236,268,502,24,19,44,6,8,20,589,649,1231,283,340,623,4134,4645,8781
UCL214008,3294,3531,6825,195,214,406,12,10,21,209,251,463,3,8,10,0,0,3,4,5,5,0,3,3,0,0,0,3,4,4,0,0,0,241,276,514,20,15,30,6,7,12,459,512,967,280,303,581,4038,4345,8376
UCL214009,1825,1990,3815,156,173,331,5,12,19,178,213,388,15,12,25,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,198,246,443,9,5,18,10,5,14,371,431,799,190,212,399,2379,2638,5018
UCL214010,2665,2678,5343,151,176,324,13,17,29,245,265,509,19,16,35,0,0,3,7,9,14,0,3,4,3,0,3,0,0,0,0,0,0,288,311,596,24,46,73,3,3,7,463,530,992,239,300,542,3364,3511,6874
UCL214011,2217,2410,4626,175,177,358,10,5,10,93,108,208,20,14,32,0,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,125,129,260,13,10,17,6,4,12,318,320,643,243,308,548,2780,3044,5821
UCL214012,2193,2317,4507,190,224,410,25,14,37,151,148,297,20,10,30,3,10,9,10,5,19,0,4,0,7,0,6,4,0,3,0,0,0,213,193,408,3,10,16,3,4,8,401,432,834,331,343,676,2924,3089,6018
UCL214013,1799,2044,3844,175,195,368,3,0,8,141,163,306,12,9,20,0,0,0,4,3,10,3,0,3,0,0,0,0,0,0,0,0,0,162,178,344,11,14,23,5,6,8,357,391,742,210,243,452,2367,2676,5041
UCL214014,2773,3043,5813,198,227,422,15,13,27,224,255,480,3,4,7,8,7,13,5,3,9,0,0,0,3,6,11,0,0,0,0,0,0,261,283,544,7,11,13,7,3,9,465,523,987,289,329,619,3528,3897,7427
UCL214015,2548,2700,5244,118,145,257,3,4,11,308,311,616,9,7,11,3,3,10,7,4,9,0,0,0,4,3,5,0,0,3,0,0,0,336,333,666,5,3,11,9,3,9,463,486,947,329,324,650,3335,3505,6844
UCL214016,2088,2206,4292,159,152,305,10,6,14,112,145,257,21,19,38,5,5,10,4,3,5,3,5,6,0,0,0,3,6,9,0,0,0,160,182,344,73,14,86,4,3,6,390,353,744,376,391,764,2853,2945,5798
UCL214017,2103,2159,4257,183,224,407,3,3,10,89,128,219,10,9,13,7,8,10,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,110,153,265,6,13,22,0,3,3,305,397,695,231,290,523,2637,2839,5479
UCL214018,3335,3391,6727,146,178,321,9,4,6,295,283,578,8,5,10,4,3,6,0,0,0,0,0,0,5,8,11,0,0,0,0,0,0,319,302,615,10,14,26,4,3,7,479,495,975,344,368,708,4154,4255,8408
UCL214019,2808,3109,5921,331,362,690,7,10,18,146,178,329,13,9,26,5,4,9,0,7,6,4,3,4,3,0,8,0,0,0,0,0,0,182,218,397,12,18,27,6,3,14,528,599,1126,373,415,784,3714,4126,7835
UCL214020,2814,2962,5776,264,264,525,46,58,103,171,196,366,15,22,29,3,0,8,17,10,27,0,0,0,5,0,3,0,0,0,0,0,0,255,293,545,8,12,20,19,23,37,544,587,1133,430,431,861,3794,3977,7771
UCL215001,436,437,866,31,33,65,0,0,3,37,29,70,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,38,72,3,7,10,3,0,3,79,72,148,43,48,92,549,561,1113
UCL215002,908,975,1887,91,95,184,4,3,5,47,51,98,0,0,4,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,55,55,111,6,4,9,4,0,4,152,157,311,103,101,207,1165,1235,2405
UCL215003,963,996,1967,55,55,112,4,3,9,102,96,197,7,3,7,3,0,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,115,109,224,10,5,20,3,3,3,187,173,357,102,92,194,1250,1264,2514
UCL215004,491,524,1009,34,33,67,0,4,3,31,45,77,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,53,99,16,10,29,0,0,3,96,104,198,76,67,145,661,694,1350
UCL215005,906,947,1853,32,32,67,3,3,3,64,70,130,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,76,143,3,5,6,0,0,0,103,122,221,97,97,194,1104,1166,2266
UCL215006,900,984,1882,25,44,68,4,0,4,67,58,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,62,133,8,9,17,3,0,3,105,113,219,93,102,196,1101,1199,2301
UCL215007,1998,1974,3977,90,95,187,11,5,15,197,182,375,5,7,6,0,3,4,0,3,3,0,0,0,0,4,6,0,0,0,0,0,0,212,202,410,9,4,9,6,3,12,316,306,622,154,157,313,2469,2438,4913
UCL215008,693,764,1458,32,22,52,9,23,31,32,35,62,8,7,14,0,0,0,4,4,9,4,3,5,3,0,3,0,0,0,0,0,0,62,72,131,7,0,8,4,4,3,97,100,194,39,47,85,831,906,1745
UCL215009,362,326,684,10,11,27,5,14,15,13,11,24,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,17,32,48,0,0,0,0,0,0,31,41,72,27,31,57,423,400,820
UCL215010,931,873,1806,17,12,32,0,0,3,104,93,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,93,201,7,0,3,0,0,0,131,112,240,70,66,137,1135,1046,2177
UCL215011,403,415,817,12,25,34,0,0,0,40,42,83,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,88,0,0,0,4,3,6,58,77,135,56,57,117,516,553,1066
UCL215012,1060,1231,2296,75,89,167,10,16,28,80,75,149,0,4,4,4,3,3,0,0,4,0,4,4,0,3,3,3,6,8,0,0,0,100,103,198,0,7,14,0,0,7,179,200,384,116,119,231,1355,1556,2905
UCL215013,656,627,1281,25,25,50,8,3,15,157,150,305,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,172,160,337,5,4,6,0,0,3,203,195,393,74,76,148,927,895,1829
UCL215014,490,496,989,19,16,36,0,0,4,40,42,83,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,49,92,3,0,3,3,0,3,68,67,130,37,35,71,596,591,1186
UCL215015,844,874,1718,62,85,148,15,13,27,58,60,119,6,11,15,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,84,87,168,4,13,21,0,0,0,152,180,334,112,122,238,1111,1178,2286
UCL215016,1509,1541,3050,83,92,173,4,6,10,95,111,210,6,3,14,3,5,4,0,0,0,0,0,0,3,4,7,0,0,3,0,0,0,113,124,241,4,6,15,4,3,10,212,227,439,126,141,265,1845,1917,3760
UCL215017,751,811,1558,35,25,65,3,0,8,60,78,141,0,3,8,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,70,90,162,0,3,4,0,0,0,107,117,227,75,81,156,935,1008,1945
UCL215018,1098,1228,2320,87,96,181,0,0,0,75,90,164,3,7,8,0,0,3,3,0,0,3,3,4,0,0,0,0,0,0,0,0,0,90,96,185,4,0,9,0,0,0,175,194,374,135,148,276,1403,1569,2972
UCL215019,629,635,1264,65,70,135,3,0,3,64,67,128,3,0,0,0,0,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,68,76,141,8,3,9,0,0,0,145,151,292,47,46,92,822,834,1655
UCL215020,505,558,1062,43,43,87,0,0,0,20,17,35,0,0,0,4,6,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,29,54,3,4,3,9,3,11,77,82,157,57,59,114,641,698,1334
UCL215021,483,515,996,14,15,27,18,15,35,26,31,53,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,53,45,96,0,0,0,0,0,0,63,68,128,56,58,113,602,636,1235
UCL215022,1645,1688,3332,87,123,208,16,7,23,135,156,294,4,6,6,0,3,3,7,8,11,5,3,7,3,8,11,0,0,0,0,0,0,164,191,347,20,21,38,0,4,9,268,334,600,285,294,579,2203,2314,4513
UCL215023,644,627,1269,43,49,91,0,0,3,26,28,49,6,3,12,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,32,33,64,0,3,4,0,0,0,75,89,163,55,60,119,776,773,1548
UCL215024,693,809,1495,57,70,127,3,7,9,31,22,54,3,0,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,40,37,72,0,0,0,0,0,0,93,110,199,89,69,156,869,985,1856
UCL215025,427,444,874,40,39,85,9,12,20,24,21,42,0,3,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,35,35,72,3,0,3,3,4,8,83,77,162,74,73,141,581,601,1179
UCL215026,1710,1950,3659,162,203,363,6,3,12,184,200,385,13,13,25,3,3,6,3,3,10,0,0,3,0,4,3,0,0,0,0,0,0,222,227,443,18,14,30,11,9,21,403,452,854,196,196,389,2313,2599,4906
UCL215027,993,1068,2061,41,58,99,0,0,0,89,122,210,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,93,128,216,3,8,11,0,5,5,131,194,329,146,172,320,1278,1435,2707
UCL215028,1215,1428,2647,79,124,206,10,7,20,85,109,195,10,10,13,0,0,3,0,11,9,0,0,0,0,0,3,0,0,0,0,0,0,105,137,248,10,12,28,3,5,12,204,284,483,123,146,266,1538,1856,3397
UCL215029,785,778,1560,41,50,90,0,0,3,130,144,273,0,4,4,0,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,134,155,288,6,6,10,0,3,3,183,213,391,69,76,142,1036,1067,2097
UCL215030,540,590,1125,23,28,48,4,3,11,22,25,47,0,0,0,3,3,11,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,37,37,71,0,0,0,0,3,3,61,62,121,73,94,167,664,748,1414
UCL215031,525,542,1067,33,47,82,3,0,3,20,24,47,3,3,8,3,3,4,0,5,10,0,3,3,0,0,0,0,0,0,0,0,0,28,36,65,0,0,0,0,3,4,67,86,155,85,88,171,677,714,1390
UCL215032,1088,1165,2257,91,91,188,3,7,11,56,73,129,4,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,95,163,4,3,4,4,7,8,170,195,368,111,142,256,1373,1507,2877
UCL215033,989,1017,2006,34,46,87,3,0,5,140,139,272,4,10,12,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,148,147,301,3,10,13,3,3,4,197,208,406,50,42,95,1236,1265,2500
UCL215034,417,507,926,49,48,92,0,0,0,24,25,49,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,48,0,0,0,0,0,0,73,73,150,42,48,85,529,625,1160
UCL215035,526,505,1033,11,8,26,0,0,0,43,51,97,3,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,53,59,111,3,0,3,0,0,0,63,66,137,46,49,99,635,622,1260
UCL215036,503,467,974,19,32,51,3,0,3,31,35,65,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,69,0,0,0,0,0,0,50,68,124,33,43,74,593,572,1166
UCL215037,600,666,1275,43,63,102,3,3,7,45,51,102,3,4,3,4,0,3,3,3,4,3,0,5,0,0,0,0,0,0,0,0,0,63,62,125,3,3,3,3,0,3,108,132,235,92,112,203,800,913,1710
UCL215038,585,599,1187,51,62,116,0,4,3,26,39,61,4,3,7,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,35,48,77,3,3,4,0,0,4,93,110,201,45,63,112,727,778,1505
UCL215039,485,511,993,31,41,73,0,0,0,27,19,47,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,30,26,56,0,0,0,3,3,8,67,68,135,60,61,118,608,634,1246
UCL215040,1360,1490,2853,74,90,167,10,5,16,67,84,147,9,9,15,0,0,0,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,87,105,189,0,3,3,3,3,10,170,197,366,180,192,378,1712,1878,3596
UCL215041,881,935,1809,20,33,57,3,0,3,72,86,156,3,0,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,80,85,166,0,6,8,3,3,7,101,128,232,88,109,201,1067,1171,2240
UCL215042,616,628,1249,29,37,66,0,3,6,56,55,107,0,0,0,3,3,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,61,65,123,0,0,6,0,0,0,94,101,192,65,57,128,779,792,1569
UCL215043,1311,1460,2770,133,151,283,6,8,8,91,118,203,8,8,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,102,136,236,0,7,9,0,0,0,236,286,529,144,162,299,1689,1906,3596
UCL215044,1696,1913,3603,178,190,366,11,15,26,142,174,316,3,3,4,0,3,3,0,5,8,0,0,0,3,0,3,0,0,0,0,0,0,161,203,359,20,13,25,4,10,8,359,407,764,221,224,448,2280,2543,4818
UCL215045,580,591,1175,42,37,83,3,0,5,35,38,72,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,38,77,0,3,3,0,0,0,87,79,167,46,50,99,715,727,1438
UCL215046,448,455,908,36,37,71,0,0,3,58,58,113,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,62,61,125,0,0,0,0,0,0,94,102,194,24,28,44,566,588,1146
UCL215047,526,571,1088,29,34,63,0,0,0,90,116,202,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,119,209,4,4,3,0,3,3,120,158,279,59,80,136,701,801,1504
UCL215048,378,379,756,19,23,47,0,0,3,26,33,62,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,38,72,0,5,4,0,3,3,52,72,126,66,77,141,490,524,1018
UCL215049,1206,1149,2351,7,12,21,5,11,17,81,82,164,0,0,3,0,0,0,3,0,4,0,0,0,0,0,3,0,4,4,0,0,0,91,97,192,4,3,13,3,7,7,110,123,236,104,92,193,1415,1360,2776
UCL215050,1599,1716,3312,167,182,347,3,4,8,78,107,181,7,4,10,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,91,126,213,11,6,26,4,3,5,271,320,592,167,190,360,2040,2227,4266
UCL215051,501,540,1039,23,24,53,0,3,4,38,48,82,0,0,0,0,0,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,46,52,100,0,3,3,0,0,0,69,80,152,30,40,71,598,659,1259
UCL215052,1185,1330,2519,161,171,326,4,13,16,64,80,150,6,3,13,0,0,4,3,3,8,0,0,0,3,3,3,0,0,0,0,0,0,84,107,189,14,16,29,3,7,12,263,296,556,144,162,303,1588,1786,3378
UCL215053,717,787,1505,39,34,72,14,9,18,60,68,133,0,0,0,7,3,7,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,79,87,165,3,3,5,7,0,3,131,120,250,98,96,199,945,1005,1957
UCL215054,620,625,1243,29,41,70,0,3,4,41,46,88,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,54,100,0,0,0,3,4,9,84,92,173,66,67,133,768,778,1549
UCL215055,672,688,1361,31,34,72,0,0,0,45,44,89,3,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,46,48,100,0,0,0,0,0,0,82,87,171,75,84,159,833,853,1682
UCL215056,424,429,854,25,29,58,6,0,5,35,39,69,6,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,47,86,0,0,0,3,4,5,69,80,148,48,54,103,534,567,1101
UCL215057,672,709,1384,34,42,73,9,14,17,19,15,40,8,13,19,3,3,6,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,40,53,88,3,3,6,0,0,0,80,94,171,63,51,120,822,854,1677
UCL215058,1023,1115,2141,101,95,198,7,9,22,56,63,122,7,4,9,0,0,0,3,3,10,4,3,3,0,0,0,0,0,0,0,0,0,78,88,160,8,7,18,0,0,0,181,192,371,111,128,238,1319,1431,2750
UCL215059,650,676,1320,51,52,104,3,3,3,48,57,103,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,66,116,3,3,11,4,0,3,117,118,233,70,83,149,829,876,1709
UCL215060,576,570,1143,51,51,105,0,7,4,29,32,60,3,3,7,0,0,0,7,3,10,0,0,3,0,0,0,0,0,0,0,0,0,39,43,85,0,0,0,0,7,5,87,101,187,62,57,118,719,732,1454
UCL215061,677,738,1415,43,57,99,3,6,10,38,32,74,4,3,4,7,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,50,103,8,4,11,0,3,3,107,115,219,49,51,100,835,902,1733
UCL215062,1351,1524,2867,127,151,282,9,11,23,72,63,134,4,7,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,85,90,173,9,6,9,5,5,8,226,252,480,141,147,288,1719,1918,3643
UCL215063,735,804,1540,75,71,150,5,6,11,24,35,59,0,3,3,0,3,3,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,40,47,89,4,0,7,0,4,5,118,126,243,96,120,211,950,1042,1990
UCL215064,393,417,811,26,25,59,4,4,3,21,22,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,49,0,3,3,0,3,5,57,55,110,63,53,116,515,526,1039
UCL215065,1277,1314,2594,94,97,189,6,4,12,105,102,208,8,12,19,6,0,7,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,129,130,254,0,3,8,3,0,6,228,228,457,148,156,309,1652,1704,3357
UCL215066,1378,1581,2960,44,60,111,7,5,10,107,115,221,10,8,13,3,3,5,4,0,8,0,0,0,3,6,7,0,0,0,0,0,0,126,137,264,10,14,23,0,3,0,180,222,401,172,188,366,1736,1988,3724
UCL215067,1068,1221,2286,105,119,223,0,0,3,79,93,172,0,3,6,0,3,3,3,4,6,0,0,0,3,3,3,0,4,4,0,0,0,89,105,199,6,3,8,0,0,4,204,232,433,128,148,272,1398,1601,2999
UCL215068,967,1100,2072,94,76,169,11,18,25,76,100,175,4,0,5,8,12,20,7,8,10,0,3,8,4,7,9,0,0,0,0,0,0,111,143,251,7,5,13,4,4,9,215,228,444,174,194,366,1354,1522,2876
UCL215069,1300,1388,2682,22,36,53,4,3,3,92,93,188,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,101,106,210,5,4,7,0,3,3,126,146,274,85,87,169,1510,1616,3129
UCL215070,745,726,1470,49,55,107,9,6,12,30,50,81,0,7,5,3,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,48,63,106,44,37,75,0,0,0,141,158,292,181,175,354,1063,1055,2115
UCL215071,1068,1146,2220,57,46,103,5,13,17,48,65,109,3,3,6,0,0,0,0,3,3,0,5,4,0,0,0,0,0,0,0,0,0,63,84,147,0,0,0,6,10,10,123,138,261,103,110,209,1294,1393,2689
UCL215072,1574,1570,3141,74,72,146,5,7,12,117,114,236,4,5,8,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,135,128,262,6,11,19,7,3,9,215,213,432,108,130,238,1900,1915,3812
UCL215073,473,474,941,15,21,43,6,0,4,48,42,92,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,55,46,107,0,0,0,0,0,0,74,69,149,51,59,114,596,604,1201
UCL215074,802,876,1676,55,54,103,29,33,65,32,41,78,8,4,8,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,76,82,156,0,0,3,3,3,8,130,137,271,58,85,143,997,1102,2098
UCL215075,417,453,868,35,42,76,0,5,4,60,62,124,0,0,0,0,0,0,3,9,11,3,0,3,0,0,0,0,0,0,0,0,0,67,78,145,3,4,7,0,0,0,106,125,228,54,51,101,579,621,1197
UCL215076,760,772,1533,8,11,18,0,3,4,62,61,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,132,3,5,8,0,0,0,80,78,159,41,28,71,877,884,1763
UCL215077,797,861,1658,50,68,122,0,0,0,35,38,78,3,0,3,0,3,6,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,44,47,93,3,4,10,4,0,4,108,124,231,51,64,122,961,1053,2010
UCL215078,722,756,1481,34,43,79,3,3,3,49,46,92,4,0,3,0,0,0,3,4,7,0,0,0,3,9,8,0,0,0,0,0,0,61,55,113,3,5,7,0,0,3,98,103,202,73,72,142,886,942,1825
UCL215079,1540,1578,3116,118,123,241,7,5,17,94,92,188,7,5,8,6,7,8,3,0,4,3,9,9,0,0,0,0,0,0,0,0,0,120,119,238,10,8,18,0,0,0,252,250,500,189,192,384,1978,2016,3996
UCL215080,768,825,1596,41,45,82,0,0,0,33,48,78,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,50,86,0,0,3,0,0,0,78,99,175,122,113,232,970,1034,2002
UCL215081,511,528,1041,48,51,101,3,0,3,21,33,58,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,31,39,63,0,8,9,0,0,0,80,95,170,45,43,89,637,661,1301
UCL215082,443,409,852,12,14,24,0,0,0,41,51,98,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,53,98,0,0,0,0,0,3,57,69,125,71,41,109,572,514,1091
UCL215083,1291,1375,2670,76,100,182,0,3,4,99,138,236,0,4,7,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,107,142,247,3,7,11,0,0,7,191,253,442,137,167,308,1620,1804,3423
UCL215084,733,647,1387,11,13,23,0,0,0,31,39,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,41,75,0,4,3,0,0,0,45,57,105,78,59,141,863,765,1630
UCL215085,736,762,1502,35,48,85,3,3,8,52,57,107,3,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,63,58,124,3,3,5,0,0,0,93,115,210,92,86,176,918,965,1887
UCL215086,884,907,1794,50,60,109,7,10,16,43,56,103,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,65,126,0,3,6,8,4,13,121,133,253,124,130,251,1125,1172,2298
UCL215087,1557,1591,3150,50,67,118,6,6,12,144,156,295,3,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,170,318,10,11,20,0,0,3,214,243,454,133,145,281,1900,1983,3886
UCL215088,593,616,1207,30,39,73,0,0,0,37,56,88,0,0,4,0,3,6,3,7,6,0,0,0,0,0,0,0,0,0,0,0,0,43,62,105,0,0,0,3,0,3,75,104,180,83,97,182,752,818,1568
UCL215089,726,682,1412,5,3,6,0,0,0,38,32,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,35,71,0,0,0,0,0,0,42,39,84,42,41,84,812,767,1581
UCL215090,1387,1520,2906,63,62,119,3,10,11,134,159,294,0,0,3,4,0,3,7,8,10,0,3,3,0,0,0,0,0,0,0,0,0,152,178,331,11,6,18,0,3,3,223,256,478,133,207,341,1753,1977,3725
UCL215091,1735,1700,3433,66,57,120,0,8,9,99,123,224,10,7,15,0,0,3,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,114,143,252,3,0,3,0,0,0,181,200,384,102,106,208,2013,2007,4027
UCL215092,439,419,861,10,13,17,0,0,3,37,39,75,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,42,79,0,0,3,0,0,0,47,55,97,57,62,119,547,534,1083
UCL215093,905,926,1832,40,38,71,3,0,4,88,87,171,4,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,99,91,187,0,0,4,0,0,0,137,129,266,88,78,171,1134,1133,2272
UCL215094,1193,1189,2386,76,74,150,7,11,17,81,102,176,11,10,19,0,0,0,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,99,124,224,0,3,7,0,7,3,179,206,384,81,93,172,1457,1486,2937
UCL215095,435,437,875,14,21,33,0,0,0,42,61,100,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,62,106,0,0,0,0,0,0,60,80,141,41,48,90,543,568,1105
UCL215096,630,666,1296,60,67,131,0,0,0,41,38,87,3,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,47,99,0,0,0,0,4,6,111,118,232,95,100,194,830,887,1717
UCL215097,427,452,884,47,44,90,0,0,0,36,45,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,43,82,0,3,3,0,0,0,86,86,174,62,43,100,573,581,1159
UCL221001,316,295,612,6,4,13,0,0,0,17,25,39,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,27,43,0,0,0,0,0,0,31,33,61,24,17,43,371,339,710
